"No","Kategori","Pertanyaan","Tipe Input","Opsi Jawaban","Variabel Model (AI Feature)"
"1","PROFIL & DEMOGRAFI","Berapa usia Anda saat ini?","Single Choice","< 18 th; 18-24 th; 25-34 th; 35-44 th; > 45 th","age_group"
"2","PROFIL & DEMOGRAFI","Apa tingkat pendidikan formal terakhir Anda?","Single Choice","SMA/SMK; D3/D4; S1 (Sarjana); S2/S3; Lainnya","education_level"
"3","PROFIL & DEMOGRAFI","Apakah jurusan pendidikan Anda berkaitan dengan IT/Komputer?","Single Choice","Ya, Sangat Terkait (IT/SI/Ilkom); Agak Terkait (Teknik Elektro/Matematika); Tidak Terkait (Sosial/Ekonomi/Sastra)","educational_background_relevance"
"4","PROFIL & DEMOGRAFI","Apa status pekerjaan utama Anda saat ini?","Single Choice","Pelajar/Mahasiswa; Fresh Graduate (Jobseeker); Karyawan (Non-IT); Karyawan (IT); Freelancer","employment_status"
"5","KOMPETENSI TEKNIS","Sistem operasi apa yang biasa Anda gunakan untuk bekerja/belajar?","Single Choice","Windows; macOS; Linux (Ubuntu/Distro lain); Hanya Tablet/HP","os_familiarity"
"6","KOMPETENSI TEKNIS","Seberapa sering Anda menggunakan Command Line / Terminal (layar hitam)?","Likert Scale","Tidak pernah / Tidak tahu; Jarang (Cuma copy-paste tutorial); Sering (Navigasi file, git); Sangat Sering (Daily driver)","cli_proficiency"
"7","KOMPETENSI TEKNIS","Apakah Anda memahami konsep dasar pemrograman (Looping, Variable, If-Else)?","Likert Scale","Tidak paham sama sekali; Paham teori, bingung praktek; Bisa menulis kode sederhana; Sangat paham & lancar","programming_logic_score"
"8","KOMPETENSI TEKNIS","Apakah Anda pernah menggunakan Git / GitHub?","Single Choice","Belum pernah; Pernah dengar tapi belum coba; Bisa git clone & push dasar; Mahir (Branching, Merge conflict)","git_competency"
"9","KOMPETENSI TEKNIS","Jika kode Anda error, apa langkah pertama yang Anda lakukan?","Single Choice","Bingung/Menyerah; Tanya Teman/Mentor; Googling error message/StackOverflow; Baca dokumentasi resmi & Debugging mandiri","problem_solving_independence"
"10","KOMPETENSI TEKNIS","Seberapa nyaman Anda bekerja dengan Excel atau Spreadsheet rumus kompleks?","Likert Scale","Tidak bisa; Dasar (Sum/Average); Menengah (VLOOKUP/Pivot); Mahir (Macro/VBA/PowerQuery)","data_literacy_score"
"11","KOMPETENSI TEKNIS","Bagaimana kemampuan Anda membaca dokumentasi teknis dalam Bahasa Inggris?","Likert Scale","Sulit memahami; Butuh Google Translate; Cukup paham konteks; Sangat lancar tanpa bantuan","english_technical_proficiency"
"12","KOMPETENSI TEKNIS","Berapa banyak proyek coding/IT yang pernah Anda selesaikan sampai tuntas?","Single Choice","0 (Belum ada); 1-2 (Tugas kuliah/sekolah); 3-5 (Proyek hobi/kecil); > 5 (Proyek profesional/besar)","project_portfolio_count"
"13","KETERSEDIAAN WAKTU","Berapa jam REALISTIS yang bisa Anda alokasikan untuk belajar per minggu?","Single Choice","< 3 jam (Sangat Sibuk); 3 - 7 jam (Santai); 8 - 14 jam (Moderat); 15 - 25 jam (Intensif); > 25 jam (Full Time)","weekly_availability_hours"
"14","KETERSEDIAAN WAKTU","Berapa lama durasi fokus Anda dalam satu kali sesi duduk belajar?","Single Choice","< 30 menit (Micro-learning); 30 - 60 menit; 1 - 2 jam; > 2 jam (Deep work)","learning_session_span"
"15","KETERSEDIAAN WAKTU","Kapan waktu utama Anda akan mengakses materi kursus?","Single Choice","Pagi hari (Sebelum aktivitas); Jam kerja/kuliah (Sela-sela waktu); Malam hari (Setelah aktivitas); Akhir pekan saja (Weekend)","preferred_time_slot"
"16","KETERSEDIAAN WAKTU","Berapa target waktu Anda untuk menyelesaikan seluruh learning path ini?","Single Choice","1 Bulan (Crash Course); 3 Bulan (Quarterly Goal); 6 Bulan (Semester Goal); 1 Tahun (Long-term)","target_completion_duration"
"17","KETERSEDIAAN WAKTU","Seberapa sering Anda berencana login ke platform?","Single Choice","Setiap hari; 3-4 kali seminggu; 1-2 kali seminggu; Tidak tentu","login_frequency_intent"
"18","GAYA BELAJAR","Format materi mana yang paling cepat membuat Anda paham?","Single Choice","Video (Visual & Audio); Teks/Artikel (Membaca & Skimming); Interactive Code (Langsung ketik di browser); Project (Langsung praktek kasus)","learning_modality_preference"
"19","GAYA BELAJAR","Bagaimana komposisi Teori vs Praktek yang Anda inginkan?","Single Choice","Banyak Teori (70%), Sedikit Praktek (30%); Seimbang (50% - 50%); Dominan Praktek/Hands-on (80%)","practicality_ratio"
"20","GAYA BELAJAR","Bagaimana preferensi kenaikan tingkat kesulitan materi?","Single Choice","Landai: Perlahan-lahan, detail, step-by-step; Curam: Cepat ke inti, tantangan tinggi sejak awal","learning_curve_steepness"
"21","GAYA BELAJAR","Apakah Anda membutuhkan interaksi dengan instruktur/komunitas?","Single Choice","Solo: Lebih suka belajar sendiri; Forum: Cukup tanya jawab via chat/forum; Live: Wajib ada sesi zoom/tatap muka","social_dependency_level"
"22","GAYA BELAJAR","Jenis evaluasi/ujian apa yang paling Anda sukai?","Single Choice","Kuis Pilihan Ganda (Cepat); Coding Challenge Otomatis; Proyek Besar (Peer/Expert Review); Tidak suka ujian","assessment_type_preference"
"23","TUJUAN & MOTIVASI","Apa tujuan utama mengikuti program ini?","Single Choice","Cari Kerja Baru (Career Switch); Promosi/Upskilling di kerjaan sekarang; Freelance/Side hustle; Akademis/Kuliah; Hobi semata","primary_motivation"
"24","TUJUAN & MOTIVASI","Seberapa penting sertifikat kelulusan bagi Anda?","Single Choice","Sangat Penting (Untuk CV/Syarat); Biasa saja (Nice to have); Tidak Penting (Yang penting ilmunya)","certification_importance"
"25","TUJUAN & MOTIVASI","Spesifiknya, role IT apa yang Anda incar?","Dropdown","Software Dev (Web/Mobile); Data Scientist/Analyst; DevOps/Cloud; UI/UX Designer; Belum Tahu/General","target_role"
"26","MINAT & HARDWARE","Apakah Anda suka bekerja dengan desain visual dan tampilan aplikasi?","Likert Scale","Sangat Tidak Suka; Netral; Sangat Suka","interest_frontend_ui"
"27","MINAT & HARDWARE","Apakah Anda suka matematika, statistik, dan pola data?","Likert Scale","Sangat Tidak Suka; Netral; Sangat Suka","interest_data_math"
"28","MINAT & HARDWARE","Apakah Anda suka mengutak-atik server, jaringan, atau hardware?","Likert Scale","Sangat Tidak Suka; Netral; Sangat Suka","interest_infrastructure"
"29","MINAT & HARDWARE","Adakah topik yang ingin Anda HINDARI?","Single Choice","Coding/Programming; Desain/Art; Matematika Rumit; Tidak ada","negative_constraint"
"30","MINAT & HARDWARE","Berapa kapasitas RAM komputer/laptop yang Anda gunakan belajar?","Single Choice","< 4 GB (Low-end); 4 - 8 GB (Mid-range); > 8 GB (High-end); Tidak pakai laptop (HP Only)","hardware_constraint"
"31","MINAT & HARDWARE","Bagaimana kualitas koneksi internet Anda untuk streaming video?","Single Choice","Tidak stabil/Kuota terbatas; Cukup stabil; Sangat cepat & Unlimited","bandwidth_constraint"
"32","MINAT & HARDWARE","Berapa budget maksimal untuk pembelian tools/lisensi software (jika ada)?","Single Choice","Rp 0 (Harus gratis/Open source); < Rp 500rb; Tidak Masalah (Ada budget khusus)","monetary_constraint"
